datetime,total_trades,winrate_%,avg_r,avg_usdt,total_ganadoras,total_perdedoras
2025-06-08 13:22:38,1,0.0,0.0,0.0,0,1
2025-06-08 13:23:45,2,0.0,0.0,0.0,0,2
2025-06-08 13:24:52,3,0.0,0.0,0.0,0,3
2025-06-08 13:25:59,4,0.0,0.0,0.0,0,4
2025-06-08 13:27:07,5,0.0,0.0,0.0,0,5
2025-06-08 13:28:14,6,0.0,0.0,0.0,0,6
2025-06-08 13:29:20,7,0.0,0.0,0.0,0,7
2025-06-08 13:30:27,8,0.0,0.0,0.0,0,8
2025-06-08 13:31:33,9,0.0,0.0,0.0,0,9
2025-06-08 13:32:40,10,0.0,0.0,0.0,0,10
2025-06-08 13:33:33,11,0.0,0.0,0.0,0,11
2025-06-08 13:34:40,12,0.0,0.0,0.0,0,12
2025-06-08 13:35:47,13,0.0,0.0,0.0,0,13
2025-06-08 13:36:53,14,0.0,0.0,0.0,0,14
2025-06-08 13:38:00,15,0.0,0.0,0.0,0,15
2025-06-08 13:39:06,16,0.0,0.0,0.0,0,16
2025-06-08 13:40:13,17,0.0,0.0,0.0,0,17
2025-06-08 13:41:19,18,0.0,0.0,0.0,0,18
2025-06-08 13:42:26,19,0.0,0.0,0.0,0,19
2025-06-08 13:43:32,20,0.0,0.0,0.0,0,20
2025-06-08 13:44:39,21,0.0,0.0,0.0,0,21
2025-06-08 13:45:45,22,0.0,0.0,0.0,0,22
2025-06-08 13:46:52,23,0.0,0.0,0.0,0,23
2025-06-08 13:47:58,24,0.0,0.0,0.0,0,24
2025-06-08 13:49:05,25,0.0,0.0,0.0,0,25
2025-06-08 13:50:12,26,0.0,0.0,0.0,0,26
2025-06-08 13:51:18,27,0.0,0.0,0.0,0,27
2025-06-08 13:52:24,28,0.0,0.0,0.0,0,28
2025-06-08 13:53:31,29,0.0,0.0,0.0,0,29
2025-06-08 13:54:37,30,0.0,0.0,0.0,0,30
2025-06-08 13:55:44,31,0.0,0.0,0.0,0,31
2025-06-08 15:53:49,36,0.0,0.0,0.0,0,36
