symbol,interval,datetime,open,high,low,close,volume
BTCUSDT,1m,2025-06-05 00:37:00,104930.22,104930.23,104930.22,104930.23,0.54466
BTCUSDT,1m,2025-06-05 00:38:00,104930.23,104958.55,104930.22,104933.74,7.62264
BTCUSDT,1m,2025-06-05 00:39:00,104933.75,104958.44,104933.74,104944.73,1.63235
BTCUSDT,1m,2025-06-05 00:40:00,104944.73,104944.73,104896.22,104896.22,5.00815
BTCUSDT,1m,2025-06-05 00:41:00,104896.22,104896.22,104843.46,104887.21,9.27091
BTCUSDT,1m,2025-06-05 00:42:00,104887.21,104945.97,104887.2,104945.96,4.65094
BTCUSDT,1m,2025-06-05 00:43:00,104945.97,104949.98,104939.26,104939.27,4.1867
BTCUSDT,1m,2025-06-05 00:44:00,104939.27,104939.27,104931.0,104931.01,2.57264
BTCUSDT,1m,2025-06-05 00:45:00,104931.01,104940.33,104931.0,104940.33,0.77063
BTCUSDT,1m,2025-06-05 00:46:00,104940.33,104943.4,104940.32,104943.39,1.17069
BTCUSDT,1m,2025-06-05 00:47:00,104943.39,104958.54,104928.0,104928.01,3.4231
BTCUSDT,1m,2025-06-05 00:48:00,104928.0,104928.0,104870.79,104889.31,8.4906
BTCUSDT,1m,2025-06-05 00:49:00,104889.31,104891.07,104849.05,104858.38,7.1513
BTCUSDT,1m,2025-06-05 00:50:00,104858.39,104866.44,104837.2,104837.2,2.22114
BTCUSDT,1m,2025-06-05 00:51:00,104837.2,104856.43,104817.71,104833.78,4.62197
BTCUSDT,1m,2025-06-05 00:52:00,104833.77,104834.62,104821.59,104834.62,1.97309
BTCUSDT,1m,2025-06-05 00:53:00,104834.63,104885.85,104834.63,104879.99,4.9625
BTCUSDT,1m,2025-06-05 00:54:00,104879.99,104914.82,104879.99,104914.81,2.30493
BTCUSDT,1m,2025-06-05 00:55:00,104914.81,104935.73,104914.81,104930.25,1.77954
BTCUSDT,1m,2025-06-05 00:56:00,104930.24,104951.74,104930.24,104943.39,4.1644
BTCUSDT,1m,2025-06-05 00:57:00,104943.38,104952.0,104943.38,104943.39,13.53725
BTCUSDT,1m,2025-06-05 00:58:00,104943.38,104967.97,104943.38,104967.96,1.28148
BTCUSDT,1m,2025-06-05 00:59:00,104967.96,104976.75,104957.85,104976.74,3.3481
BTCUSDT,1m,2025-06-05 01:00:00,104976.75,104976.75,104968.0,104976.72,3.20163
BTCUSDT,1m,2025-06-05 01:01:00,104976.72,105009.19,104976.71,105009.19,3.50718
BTCUSDT,1m,2025-06-05 01:02:00,105009.18,105009.19,105004.77,105008.77,1.7809
BTCUSDT,1m,2025-06-05 01:03:00,105008.76,105045.4,105008.76,105045.4,4.69563
BTCUSDT,1m,2025-06-05 01:04:00,105045.39,105045.4,105045.39,105045.4,3.27479
BTCUSDT,1m,2025-06-05 01:05:00,105045.39,105045.4,105009.32,105009.32,8.89887
