datetime,exit_time,symbol,entry_price,exit_price,sl,qty,order_id,pnl_usdt,pnl_%,r_multiple,reason
2025-06-05T23:32:43.539647+00:00,2025-06-05T23:32:43.539647+00:00,AVAXUSDT,18.87,18.87,18.84,333.333333,11831886,0.0,0.0,0.0,simulated_entry
2025-06-05T23:32:44.684190+00:00,2025-06-05T23:32:44.684190+00:00,TRXUSDT,0.2669,0.2669,0.2665,25000.0,94437932,0.0,0.0,0.0,simulated_entry
2025-06-05T23:32:43.545212+00:00,2025-06-05T23:32:46.105922+00:00,AVAXUSDT,18.87,18.82,18.84,1.0,33627952,-0.05,-0.26,-1.67,SL hit
2025-06-05 23:32:44.685189+00:00,2025-06-05 23:32:46.641536,TRXUSDT,0.2669,0.2802,0.2665,1.0,22983562,0.0133,4.9831,33.25,
2025-06-05T23:33:50.831572+00:00,2025-06-05T23:33:50.831572+00:00,AVAXUSDT,18.87,18.87,18.84,333.333333,11831886,0.0,0.0,0.0,simulated_entry
2025-06-05T23:33:51.979029+00:00,2025-06-05T23:33:51.979029+00:00,TRXUSDT,0.2669,0.2669,0.2665,25000.0,94437932,0.0,0.0,0.0,simulated_entry
2025-06-05T23:33:50.833599+00:00,2025-06-05T23:33:53.439072+00:00,AVAXUSDT,18.87,18.81,18.84,1.0,61535901,-0.06,-0.32,-2.0,SL hit
2025-06-05 23:33:51.981185+00:00,2025-06-05 23:33:53.936948,TRXUSDT,0.2669,0.2813,0.2665,1.0,58206175,0.0144,5.3953,36.0,
2025-06-05T23:34:58.588103+00:00,2025-06-05T23:34:58.588103+00:00,AVAXUSDT,18.87,18.87,18.84,333.333333,11831886,0.0,0.0,0.0,simulated_entry
2025-06-05T23:34:59.909566+00:00,2025-06-05T23:34:59.909566+00:00,TRXUSDT,0.2669,0.2669,0.2665,25000.0,94437932,0.0,0.0,0.0,simulated_entry
2025-06-05T23:34:58.589613+00:00,2025-06-05T23:35:01.486753+00:00,AVAXUSDT,18.87,18.78,18.84,1.0,85588742,-0.09,-0.48,-3.0,SL hit
2025-06-05 23:34:59.911933+00:00,2025-06-05 23:35:02.009443,TRXUSDT,0.2669,0.2806,0.2665,1.0,96028228,0.0137,5.133,34.25,
